rank,title,author,grrank,votes
78,On Death's Bloody Trail,Brian Marriner,3.62,21
75,Enter the Uncreated Night,Christopher Rankin,3.54,138
85,Serial Killers: The Insatiable Passion,David Lester,3.52,50
91,Advanced Crime Scene Photography,Christopher Duncan,3.50,2
71,Sarah,J.T. LeRoy,3.45,3348
6,Heart of Darkness,Joseph Conrad,3.42,342189
79,Neonomicon,Alan Moore,3.42,4025
59,Big Machine,Victor LaValle,3.34,3155
90,Swamplandia!,Karen Russell,3.22,45595
87,The Vanishers,Heidi Julavits,3.13,2868
